name	ra	dec
0ES2132+50.9	323.432	51.1236
0FGLJ0614.3-3330	93.543	-33.498
0FGLJ0617.4+2234	94.511	22.66
0FGLJ0643.2+0858	100.86	8.96
0FGLJ1018.2-5858	154.675	-58.938
0FGLJ1024.0-5754	155.875	-57.832
0FGLJ1123.0-6416	170.831	-64.293
0FGLJ1604.0-4904	240.961	-49.068
0FGLJ1801.6-2327	270.345	-23.289
0FGLJ1813.5-1248	273.35	-12.767
0FGLJ1830.3+0617	277.525	6.321
0FGLJ1839.0-0549	279.775	-5.82
0FGLJ1855.9+0126	284.038	1.375
0FGLJ1911.0+0905	287.761	9.087
0FGLJ1923.0+1411	290.83	14.156
0FGLJ1954.4+2838	298.58	28.602
0FGLJ2001.0+4352	300.304	43.881
0FGLJ2027.5+3334	306.882	33.574
0FGLJ2055.5+2540	313.953	25.667
1A0535+262	84.725	26.317
1A0620-00	95.675	-0.35
1A1059-22	165.907	-23.4917
1A1118-61	170.238	-61.917
1A1143-18	176.419	-18.454
1A1343-60	206.9	-60.618
1A1742-294	266.522	-29.515
1A1744-361	267.08	-36.121
1E1048.1-5937	162.537	-59.8889
1E1145.1-6141	176.869	-61.954
1E1547.0-5408	237.726	-54.307
1E1740.7-2942	265.978	-29.745
1E1743.1-2843	266.588	-28.728
1E2259+58.6	345.285	58.879
1ES0120+34.0	20.786	34.348
1ES1741+19.6	265.99	19.5858
1ES1959+650	299.999	65.149
1ES2344+514	356.771	51.705
1H0419-577	66.5033	-57.2006
1H2140+433	325.678	43.586
1RXHJ173523.7-354013	263.849	-35.6693
1RXSJ175113.3-201214	267.806	-20.204
1RXSJ180408.9-342058	271.038	-34.3494
1RXSJ180724.2+194217	271.85	19.706
1RXSJ194211.9+255552	295.55	25.931
1RXSJ202945.1+574348	307.438	57.73
2C1569	277.382	48.7464
2CG036+01	283.12	3.867
2CG054+01	141.35	19.633
2CG065+00	299.25	28.8
2CG075+00	305.333	37.253
2CG078+01	305.37	40.43
2CG095+04	313.075	55.2
2CG121+04	8.0	66.8
2CG235-01	112.5	-20.4
2CG333+01	244.25	-49.3
2E1756.8+1451	269.788	14.862
2E1853.7+1534	284.0	15.6369
2E2321.4+4154	350.969	42.1819
2S0918-549	140.116	-55.204
2S1711-339	258.571	-34.055
3A0114+650	19.5112	65.2916
3C111	64.589	38.027
3C120	68.296	5.354
3C207	130.198	13.206
3C273	187.278	2.052
3C277.3	194.953	27.981
3C279	194.047	-5.789
3C309.1	224.782	71.6722
3C371	271.711	69.824
3C390.3	280.537	79.771
3C405.0	299.868	40.7339
3C418.0	309.654	51.3202
3C445	335.956	-2.104
3C452	341.455	39.6875
3C454.3	343.49	16.148
3C66A	35.6651	43.0355
3EGJ0853+1941	133.704	20.1085
3EGJ0903-3531	136.25	-35.45
44BOO	225.947	47.6542
4C-02.19	75.3034	-1.98729
4C-02.81	323.543	-1.88812
4C-03.79	334.717	-3.59358
4C-05.92	336.447	-4.95039
4C01.02	17.1615	1.58342
4C01.24B	137.292	1.35989
4C01.28	164.623	1.56634
4C04.42	185.594	4.22105
4C05.64	237.647	5.4529
4C06.41	160.322	6.17137
4C06.69	327.023	6.96072
4C09.57	267.887	9.6502
4C10.45	242.193	10.4855
4C11.69	338.152	11.7308
4C14.60	235.206	14.7961
4C21.35	186.227	21.3796
4C28.07	39.4684	28.8025
4C31.03	18.21	32.138
4C31.56	305.829	31.884
4C31.63	330.812	31.7606
4C32.14	54.1255	32.3082
4C32.55	278.764	32.6964
4C34.47	260.837	34.299
4C38.41	248.815	38.1346
4C39.25	141.763	39.0391
4C39.48	250.745	39.8103
4C40.24	147.231	40.6624
4C45.51	358.59	45.8845
4C47.08	45.8968	47.2712
4C47.31	149.582	47.4188
4C56.27	276.029	56.8504
4C67.05	37.2085	67.3508
4C73.18	291.952	73.9671
4C74.26	310.655	75.134
4C+55.17	149.409	55.382
4C+71.07	130.352	70.895
4U0115+634	19.629	63.74
4U0513-40	78.525	-40.044
4U0517+17	77.6896	16.4986
4U0614+09	94.28	9.137
4U0728-25	112.223	-26.1081
4U0836-42	129.345	-42.886
4U1210-64	183.45	-64.838
4U1246-58	192.414	-59.087
4U1323-619	201.65	-62.136
4U1543-47	236.786	-47.669
4U1543-62	236.976	-62.5698
4U1624-490	247.012	-49.1985
4U1626-67	248.067	-67.462
4U1630-472	248.504	-47.393
4U1636-536	250.231	-53.751
4U1700-377	255.987	-37.844
4U1700+24	256.644	23.9718
4U1702-429	256.563	-43.036
4U1705-32	257.227	-32.316
4U1708-23	257.1	-22.8
4U1708-40	258.099	-40.843
4U1715-321	259.698	-32.178
4U1735-44	264.743	-44.45
4U1746-370	267.557	-37.047
4U1812-12	273.776	-12.096
4U1822-371	276.445	-37.1053
4U1849-31	283.76	-31.164
4U1850-087	283.27	-8.706
4U1901+03	285.914	3.215
4U1909+07	287.701	7.598
4U1916-053	289.699	-5.238
4U1954+31	298.926	32.097
4U1957+115	299.851	11.709
4U2206+54	331.984	54.518
7C0059+5808	15.6907	58.4031
7C1156+2931	179.883	29.2455
7C1308+3236	197.619	32.3455
7C1415+2556	214.486	25.7237
7C1424+2401	216.752	23.8
8C1150+81	178.302	80.9748
8C1803+784	270.19	78.4678
8C1849+670	282.317	67.0949
ABDOR	82.1867	-65.4486
ACO2319	290.189	43.9619
ADLEO	154.901	19.87
AGLJ1023-3738	155.819	-37.644
AM1236-270	189.727	-27.3078
AMHER	274.055	49.868
AO0235+16	39.6622	16.6165
AOPSC	343.825	-3.178
APG319	338.966	33.9446
ARLAC	332.17	45.7422
ASAS150946-2147.7	227.442	-21.795
AT2018COW	244.001	22.268
ATMIC	310.463	-32.4353
AUMIC	311.29	-31.3408
AXJ1631.9-4752	248.008	-47.874
AXJ1700.2-4220	255.105	-42.317
AXJ1740.1-3102	265.038	-31.04
AXJ1744.8-2921	266.213	-29.355
AXJ1749.1-2639	267.291	-26.637
AXJ1749.1-2733	267.278	-27.542
AXJ1754.2-2754	268.561	-27.91
AXJ1820.5-1434	275.123	-14.573
AXJ1838.0-0655	279.513	-6.926
AXJ1845.0-0258	281.222	-2.945
AXJ1846.4-0258	281.602	-2.974
AYCET	19.1513	-2.50028
ALGOL	47.0421	40.9556
AQLX-1	287.817	0.585
B30650+453	103.599	45.24
B31343+451	206.388	44.883
B32247+381	342.524	38.41
B32322+396	351.324	39.96
BFLYN	140.608	40.2011
BOMIC	311.937	-36.5942
BWE0650+5046	103.592	50.707
BWE0708+5038	108.182	50.556
BWE0711+1940	108.482	19.583
BWE0907+3341	137.654	33.4901
BWE1051+2227	163.627	22.182
BWE1118+4228	170.198	42.2047
BWE1133+6753	174.125	67.6179
BWE2155+3112	329.37	31.45
BWE2159+5034	330.431	50.816
BYCAM	85.7037	60.8588
BYDRA	278.483	51.7192
CCERI	38.594	-43.796
CFTUC	13.2825	-74.6517
CHCYG	291.138	50.2414
CIZAJ1638.2-6420	249.567	-64.3472
CRATESJ0531-4827	82.999	-48.455
CTS109	323.009	-33.715
CXOM31004211.37+41042551	10.547	41.074
CXOUJ164710.2-455216	251.793	45.871
CASA	350.85	58.815
CENA	201.365	-43.0191
CENX-3	170.313	-60.623
CENX-4	224.592	-31.669
CIRX-1	230.17	-57.167
CRAB	83.633	22.015
CYGX-1	299.591	35.202
CYGX-2	326.172	38.322
CYGX-3	308.107	40.958
DGCVN	202.944	29.277
DHLEO	150.007	24.5528
DKDRA	183.923	72.5511
DMUMA	163.931	60.4694
DODRA	175.91	71.689
EIERI	62.4204	-7.89278
EIUMA	129.592	48.6338
EKDRA	219.751	64.2917
EQPEG	352.967	19.937
ERVUL	315.608	27.8075
ESO103-035	279.585	-65.4281
ESO140-43	281.225	-62.365
ESO141-G55	290.3	-58.667
ESO198-24	39.5817	-52.1928
ESO297-18	24.6549	-40.0113
ESO362-18	79.8983	-32.6583
ESO416-2	38.8058	-29.6047
ESO490-26	100.049	-25.8939
ESO511-G030	214.843	-26.645
ESO548-81	55.5159	-21.244
ESO97-13	213.291	-65.339
EVLAC	341.707	44.3339
EXO0748-676	117.139	-67.75
EXO1657-419	255.2	-41.6731
EXO1745-248	267.022	-24.78
EXO1747-214	267.604	-21.426
