Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD/dt_min dI/dt_min dH/dt_nT dX/dt_nT dY/dt_nT dZ/dt_nT dF/dt_nT
2015.88698719 E K526.255149552 7.02014 -33.0768   -15d 25m     1d 46m   22591.4  21778.9  -6004.2    695.4  22602.1     5.4     -16.8         -0.4      9.0     34.4   -110.7     -3.9
2015.88698722 E K526.26367367 6.99385 -33.0231   -15d 24m     1d 40m   22587.4  21775.9  -6000.2    657.0  22597.0     5.4     -16.8         -0.5      9.0     34.4   -110.7     -3.7
2015.88698725 E K526.271774662 6.96754 -32.9695   -15d 24m     1d 34m   22583.3  21772.8  -5996.1    618.6  22591.8     5.4     -16.8         -0.5      8.9     34.5   -110.6     -3.6
2015.88698728 E K526.279765558 6.94123 -32.9159   -15d 23m     1d 28m   22579.3  21769.7  -5992.1    580.3  22586.7     5.4     -16.8         -0.6      8.9     34.5   -110.5     -3.4
2015.88698731 E K526.288489287 6.91492 -32.8623   -15d 23m     1d 23m   22575.1  21766.5  -5988.0    542.0  22581.7     5.4     -16.8         -0.6      8.9     34.6   -110.4     -3.3
2015.88698735 E K526.295786898 6.88859 -32.8086   -15d 22m     1d 17m   22571.0  21763.3  -5983.9    503.7  22576.6     5.4     -16.8         -0.7      8.8     34.6   -110.4     -3.1
2015.88698738 E K526.304651303 6.86226 -32.755   -15d 22m     1d 11m   22566.8  21760.1  -5979.8    465.4  22571.6     5.4     -16.8         -0.7      8.8     34.7   -110.3     -3.0
2015.88698741 E K526.312402623 6.83593 -32.7014   -15d 21m     1d  5m   22562.6  21756.9  -5975.7    427.2  22566.7     5.5     -16.8         -0.8      8.8     34.7   -110.2     -2.8
2015.88698744 E K526.320727824 6.80958 -32.6478   -15d 21m     0d 59m   22558.4  21753.6  -5971.6    388.9  22561.7     5.5     -16.8         -0.8      8.7     34.7   -110.1     -2.7
2015.88698747 E K526.329140748 6.78323 -32.5942   -15d 21m     0d 53m   22554.1  21750.3  -5967.4    350.7  22556.8     5.5     -16.8         -0.8      8.7     34.8   -110.1     -2.5
