Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD/dt_min dI/dt_min dH/dt_nT dX/dt_nT dY/dt_nT dZ/dt_nT dF/dt_nT
2015.73630219 E K541.560932705 12.7588 -101.675     5d 42m    37d 54m   22283.6  22173.3   2215.2  17352.2  28242.9    -6.2      -0.0        -39.7    -35.5    -44.2    -31.0    -50.3
2015.73630222 E K541.560276663 12.7827 -101.62     5d 41m    37d 57m   22278.4  22168.7   2207.9  17378.1  28254.6    -6.3      -0.0        -39.7    -35.5    -44.2    -31.1    -50.4
2015.73630226 E K541.558652257 12.8065 -101.564     5d 40m    38d  0m   22273.1  22164.1   2200.4  17403.9  28266.3    -6.3      -0.0        -39.7    -35.5    -44.3    -31.3    -50.5
2015.73630229 E K541.557535576 12.8304 -101.509     5d 39m    38d  3m   22267.8  22159.5   2193.1  17429.7  28278.1    -6.3      -0.0        -39.6    -35.4    -44.3    -31.4    -50.6
2015.73630232 E K541.556390759 12.8542 -101.454     5d 38m    38d  6m   22262.5  22154.9   2185.7  17455.5  28289.8    -6.3      -0.1        -39.6    -35.4    -44.4    -31.6    -50.7
2015.73630235 E K541.555313438 12.878 -101.398     5d 37m    38d  9m   22257.2  22150.3   2178.1  17481.3  28301.5    -6.3      -0.1        -39.6    -35.4    -44.4    -31.8    -50.8
2015.73630238 E K541.553707981 12.9018 -101.343     5d 36m    38d 12m   22251.9  22145.7   2170.7  17507.0  28313.2    -6.3      -0.1        -39.6    -35.4    -44.5    -31.9    -50.8
2015.73630241 E K541.552363077 12.9256 -101.287     5d 35m    38d 15m   22246.5  22141.1   2163.1  17532.7  28325.0    -6.3      -0.1        -39.5    -35.4    -44.5    -32.1    -50.9
2015.73630245 E K541.550761118 12.9493 -101.231     5d 34m    38d 17m   22241.1  22136.5   2155.5  17558.4  28336.7    -6.3      -0.1        -39.5    -35.3    -44.6    -32.3    -51.0
2015.73630248 E K541.549190793 12.9731 -101.176     5d 33m    38d 20m   22235.8  22131.8   2148.0  17584.1  28348.4    -6.3      -0.1        -39.5    -35.3    -44.6    -32.4    -51.1
2015.73630251 E K541.548568422 12.9968 -101.12     5d 32m    38d 23m   22230.4  22127.2   2140.4  17609.7  28360.1    -6.4      -0.1        -39.4    -35.3    -44.7    -32.6    -51.2
2015.73630254 E K541.546917915 13.0206 -101.065     5d 30m    38d 26m   22225.1  22122.5   2132.8  17635.3  28371.8    -6.4      -0.1        -39.4    -35.3    -44.7    -32.8    -51.2
2015.73630257 E K541.546105983 13.0443 -101.009     5d 29m    38d 29m   22219.7  22117.9   2125.1  17660.9  28383.5    -6.4      -0.2        -39.4    -35.3    -44.8    -32.9    -51.3
2015.7363026 E K541.545482881 13.068 -100.954     5d 28m    38d 32m   22214.4  22113.2   2117.5  17686.3  28395.1    -6.4      -0.2        -39.4    -35.3    -44.8    -33.1    -51.4
2015.73630264 E K541.543795781 13.0916 -100.898     5d 27m    38d 34m   22209.0  22108.5   2109.8  17711.8  28406.8    -6.4      -0.2        -39.3    -35.2    -44.9    -33.3    -51.5
2015.73630267 E K541.542640315 13.1153 -100.842     5d 26m    38d 37m   22203.5  22103.8   2102.0  17737.3  28418.5    -6.4      -0.2        -39.3    -35.2    -44.9    -33.4    -51.6
2015.7363027 E K541.541775605 13.139 -100.787     5d 25m    38d 40m   22198.2  22099.1   2094.3  17762.7  28430.1    -6.4      -0.2        -39.3    -35.2    -45.0    -33.6    -51.7
2015.73630273 E K541.540039958 13.1626 -100.731     5d 24m    38d 43m   22192.7  22094.4   2086.5  17788.1  28441.8    -6.4      -0.2        -39.2    -35.2    -45.0    -33.8    -51.7
2015.73630276 E K541.538642882 13.1862 -100.676     5d 23m    38d 46m   22187.4  22089.8   2078.8  17813.4  28453.4    -6.4      -0.2        -39.2    -35.2    -45.0    -33.9    -51.8
2015.73630279 E K541.537729623 13.2099 -100.62     5d 21m    38d 48m   22181.9  22085.0   2071.0  17838.9  28465.1    -6.4      -0.2        -39.2    -35.1    -45.1    -34.1    -51.9
2015.73630283 E K541.535909568 13.2335 -100.564     5d 20m    38d 51m   22176.5  22080.3   2063.1  17864.2  28476.8    -6.5      -0.3        -39.2    -35.1    -45.1    -34.3    -52.0
2015.73630286 E K541.534573331 13.2571 -100.508     5d 19m    38d 54m   22171.0  22075.5   2055.2  17889.5  28488.4    -6.5      -0.3        -39.1    -35.1    -45.2    -34.4    -52.1
2015.73630289 E K541.533515894 13.2806 -100.453     5d 18m    38d 57m   22165.6  22070.8   2047.4  17914.7  28500.0    -6.5      -0.3        -39.1    -35.1    -45.2    -34.6    -52.2
2015.73630292 E K541.531785071 13.3042 -100.397     5d 17m    38d 60m   22160.1  22066.1   2039.4  17939.9  28511.6    -6.5      -0.3        -39.1    -35.0    -45.3    -34.8    -52.2
2015.73630295 E K541.530671361 13.3277 -100.341     5d 16m    39d  2m   22154.7  22061.3   2031.5  17965.1  28523.2    -6.5      -0.3        -39.0    -35.0    -45.3    -34.9    -52.3
2015.73630299 E K541.529493654 13.3513 -100.286     5d 15m    39d  5m   22149.2  22056.6   2023.6  17990.3  28534.8    -6.5      -0.3        -39.0    -35.0    -45.4    -35.1    -52.4
2015.73630302 E K541.528118651 13.3748 -100.23     5d 13m    39d  8m   22143.7  22051.8   2015.6  18015.4  28546.4    -6.5      -0.3        -39.0    -35.0    -45.4    -35.3    -52.5
2015.73630305 E K541.526691605 13.3983 -100.174     5d 12m    39d 11m   22138.2  22047.0   2007.5  18040.5  28558.0    -6.5      -0.3        -38.9    -35.0    -45.4    -35.5    -52.6
2015.73630308 E K541.525688606 13.4218 -100.118     5d 11m    39d 13m   22132.7  22042.2   1999.5  18065.6  28569.6    -6.5      -0.4        -38.9    -34.9    -45.5    -35.6    -52.7
2015.73630311 E K541.524633564 13.4453 -100.063     5d 10m    39d 16m   22127.3  22037.5   1991.5  18090.5  28581.2    -6.6      -0.4        -38.9    -34.9    -45.5    -35.8    -52.7
2015.73630314 E K541.523014526 13.4687 -100.007     5d  9m    39d 19m   22121.8  22032.7   1983.4  18115.5  28592.7    -6.6      -0.4        -38.8    -34.9    -45.6    -36.0    -52.8
2015.73630318 E K541.521650374 13.4922 -99.951     5d  7m    39d 22m   22116.2  22027.9   1975.3  18140.5  28604.3    -6.6      -0.4        -38.8    -34.9    -45.6    -36.1    -52.9
2015.73630321 E K541.519843573 13.5156 -99.8952     5d  6m    39d 24m   22110.7  22023.1   1967.1  18165.4  28615.9    -6.6      -0.4        -38.8    -34.8    -45.7    -36.3    -53.0
2015.73630324 E K541.518339473 13.539 -99.8394     5d  5m    39d 27m   22105.2  22018.2   1959.0  18190.3  28627.4    -6.6      -0.4        -38.7    -34.8    -45.7    -36.5    -53.1
2015.73630327 E K541.517638073 13.5624 -99.7835     5d  4m    39d 30m   22099.7  22013.4   1950.8  18215.2  28638.9    -6.6      -0.4        -38.7    -34.8    -45.7    -36.7    -53.2
2015.7363033 E K541.515675146 13.5858 -99.7277     5d  3m    39d 32m   22094.2  22008.6   1942.6  18240.0  28650.5    -6.6      -0.5        -38.6    -34.8    -45.8    -36.8    -53.2
2015.73630333 E K541.515164632 13.6092 -99.6718     5d  1m    39d 35m   22088.6  22003.7   1934.4  18264.8  28662.0    -6.6      -0.5        -38.6    -34.7    -45.8    -37.0    -53.3
2015.73630337 E K541.513308918 13.6325 -99.616     5d  0m    39d 38m   22083.1  21998.9   1926.2  18289.5  28673.5    -6.6      -0.5        -38.6    -34.7    -45.9    -37.2    -53.4
