Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD/dt_min dI/dt_min dH/dt_nT dX/dt_nT dY/dt_nT dZ/dt_nT dF/dt_nT
2015.73493046 E K525.630380934 -1.38373 -122.943     9d 19m     7d  1m   23825.2  23511.3   3854.6   2934.0  24005.2    -2.7       2.8        -31.6    -28.1    -23.8     15.6    -29.5
2015.73493049 E K525.631872077 -1.41093 -122.89     9d 19m     6d 59m   23822.9  23509.1   3854.0   2917.3  24000.9    -2.7       2.8        -31.6    -28.1    -23.8     15.6    -29.5
2015.73493052 E K525.633651955 -1.43812 -122.837     9d 19m     6d 57m   23820.7  23506.9   3853.5   2900.7  23996.6    -2.7       2.8        -31.6    -28.1    -23.8     15.5    -29.5
2015.73493055 E K525.63571231 -1.46532 -122.784     9d 19m     6d 54m   23818.4  23504.7   3852.9   2884.0  23992.4    -2.7       2.8        -31.6    -28.1    -23.8     15.5    -29.5
2015.73493059 E K525.637396749 -1.49252 -122.732     9d 19m     6d 52m   23816.1  23502.5   3852.4   2867.2  23988.1    -2.7       2.8        -31.6    -28.1    -23.8     15.5    -29.5
2015.73493062 E K525.639523548 -1.51971 -122.679     9d 19m     6d 50m   23813.9  23500.3   3851.8   2850.6  23983.9    -2.7       2.7        -31.6    -28.1    -23.9     15.5    -29.5
2015.73493065 E K525.640937959 -1.5469 -122.626     9d 18m     6d 47m   23811.5  23498.0   3851.3   2834.0  23979.6    -2.7       2.7        -31.6    -28.1    -23.9     15.5    -29.6
2015.73493068 E K525.642470067 -1.57409 -122.573     9d 18m     6d 45m   23809.2  23495.8   3850.7   2817.3  23975.3    -2.8       2.7        -31.6    -28.1    -23.9     15.5    -29.6
2015.73493071 E K525.644616132 -1.60128 -122.52     9d 18m     6d 43m   23806.9  23493.5   3850.2   2800.7  23971.1    -2.8       2.7        -31.6    -28.1    -23.9     15.5    -29.6
2015.73493074 E K525.646376155 -1.62847 -122.467     9d 18m     6d 40m   23804.6  23491.2   3849.6   2784.1  23966.8    -2.8       2.7        -31.6    -28.1    -24.0     15.5    -29.6
2015.73493078 E K525.647919681 -1.65566 -122.415     9d 18m     6d 38m   23802.2  23489.0   3849.1   2767.3  23962.6    -2.8       2.7        -31.6    -28.1    -24.0     15.5    -29.6
2015.73493081 E K525.649745401 -1.68284 -122.362     9d 18m     6d 36m   23799.9  23486.7   3848.5   2750.7  23958.3    -2.8       2.7        -31.6    -28.1    -24.0     15.5    -29.6
2015.73493084 E K525.651186013 -1.71003 -122.309     9d 18m     6d 33m   23797.5  23484.4   3847.9   2734.1  23954.1    -2.8       2.7        -31.6    -28.1    -24.0     15.5    -29.7
2015.73493087 E K525.653069918 -1.73721 -122.256     9d 18m     6d 31m   23795.1  23482.0   3847.4   2717.5  23949.8    -2.8       2.7        -31.6    -28.1    -24.1     15.5    -29.7
2015.7349309 E K525.655732466 -1.76439 -122.203     9d 18m     6d 29m   23792.7  23479.7   3846.8   2701.0  23945.5    -2.8       2.7        -31.6    -28.1    -24.1     15.4    -29.7
2015.73493093 E K525.657511027 -1.79156 -122.15     9d 18m     6d 26m   23790.3  23477.3   3846.2   2684.4  23941.3    -2.8       2.7        -31.6    -28.1    -24.1     15.4    -29.7
2015.73493097 E K525.658736843 -1.81874 -122.098     9d 18m     6d 24m   23787.9  23475.0   3845.7   2667.7  23937.0    -2.8       2.7        -31.6    -28.1    -24.1     15.4    -29.7
2015.734931 E K525.661736966 -1.84591 -122.045     9d 18m     6d 22m   23785.5  23472.6   3845.1   2651.2  23932.8    -2.8       2.7        -31.7    -28.1    -24.2     15.4    -29.7
2015.73493103 E K525.663016854 -1.87309 -121.992     9d 18m     6d 19m   23783.0  23470.2   3844.6   2634.6  23928.5    -2.8       2.7        -31.7    -28.1    -24.2     15.4    -29.8
2015.73493106 E K525.665074264 -1.90026 -121.939     9d 18m     6d 17m   23780.6  23467.8   3844.0   2618.1  23924.3    -2.8       2.7        -31.7    -28.1    -24.2     15.4    -29.8
2015.73493109 E K525.667743577 -1.92743 -121.886     9d 18m     6d 15m   23778.1  23465.4   3843.4   2601.5  23920.0    -2.8       2.7        -31.7    -28.1    -24.2     15.4    -29.8
